,y
0,1
1,0
2,1
3,1
4,0
5,1
6,1
7,0
8,1
9,0
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,0
18,1
19,0
20,0
21,0
22,1
23,1
24,1
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,1
39,1
40,0
41,1
42,1
43,1
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,1
54,0
55,1
56,1
57,1
58,0
59,1
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,1
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,1
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,1
109,1
110,1
111,0
112,1
113,0
114,0
115,0
116,1
117,1
118,1
119,0
120,0
121,0
122,1
123,1
124,0
125,0
126,0
127,1
128,1
129,1
130,1
131,0
132,0
133,0
134,0
135,1
136,1
137,1
138,1
139,1
140,0
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,0
151,1
152,0
153,1
154,0
155,1
156,1
157,0
158,0
159,0
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,1
176,1
177,1
178,0
179,1
180,0
181,0
182,0
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,0
191,0
192,0
193,1
194,0
195,0
196,1
197,0
198,1
199,0
200,0
201,1
202,1
203,0
204,1
205,0
206,1
207,1
208,1
209,0
210,0
211,1
212,0
213,1
214,1
215,1
216,1
217,0
218,1
219,0
220,1
221,1
222,0
223,1
224,0
225,1
226,1
227,0
228,1
229,0
230,0
231,0
232,1
233,1
234,0
235,0
236,1
237,1
238,1
239,0
240,1
241,0
242,0
243,1
244,0
245,0
246,1
247,0
248,1
249,1
250,0
251,0
252,0
253,0
254,0
255,1
256,1
257,1
258,0
259,1
260,1
261,1
262,0
263,0
264,0
265,1
266,0
267,0
268,0
269,0
270,1
271,1
272,0
273,1
274,1
275,0
276,1
277,1
278,1
279,1
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,1
295,0
296,0
297,0
298,1
299,0
300,0
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,0
310,0
311,1
312,1
313,1
314,1
315,0
316,0
317,1
318,1
319,0
320,0
321,1
322,0
323,1
324,0
325,0
326,0
327,1
328,1
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,1
342,1
343,1
344,1
345,1
346,0
347,1
348,1
349,1
350,1
351,1
352,1
353,0
354,0
355,1
356,0
357,1
358,0
359,1
360,0
361,0
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,0
374,0
375,1
376,0
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,0
393,0
394,0
395,1
396,1
397,0
398,0
399,0
400,1
401,1
402,1
403,0
404,1
405,0
406,0
407,1
408,1
409,0
410,1
411,1
412,1
413,1
414,1
415,0
416,0
417,1
418,0
419,0
420,1
421,0
422,1
423,1
424,1
425,1
426,0
427,0
428,1
429,1
430,1
431,1
432,1
433,0
434,0
435,1
436,1
437,1
438,1
439,0
440,0
441,1
442,0
443,1
444,1
445,1
446,0
447,1
448,1
449,0
450,1
451,1
452,1
453,1
454,0
455,1
456,1
457,0
458,1
459,0
460,1
461,1
462,0
463,0
464,1
465,0
466,1
467,1
468,0
469,1
470,1
471,0
472,0
473,0
474,0
475,1
476,0
477,1
478,0
479,0
480,1
481,1
482,1
483,0
484,1
485,1
486,0
487,0
488,1
489,1
490,0
491,1
492,1
493,0
494,0
495,1
496,1
497,0
498,1
499,1
500,1
501,1
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,1
510,0
511,0
512,0
513,1
514,0
515,1
516,1
517,1
518,1
519,1
520,0
521,0
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,0
531,0
532,0
533,0
534,0
535,1
536,1
537,0
538,1
539,0
540,1
541,0
542,0
543,1
544,1
545,0
546,0
547,0
548,0
549,1
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,1
558,0
559,1
560,1
561,0
562,0
563,1
564,0
565,1
566,0
567,1
568,0
569,1
570,0
571,0
572,1
573,1
574,1
575,0
576,0
577,0
578,0
579,1
580,1
581,0
582,1
583,1
584,0
585,0
586,1
587,0
588,0
589,1
590,0
591,0
592,1
593,0
594,0
595,1
596,0
597,0
598,1
599,0
600,1
601,0
602,1
603,0
604,1
605,1
606,1
607,0
608,0
609,0
610,0
611,0
612,1
613,1
614,0
615,0
616,1
617,1
618,1
619,1
620,0
621,1
622,1
623,0
624,1
625,0
626,1
627,0
628,0
629,1
630,1
631,0
632,1
633,1
634,0
635,0
636,1
637,1
638,1
639,1
640,1
641,0
642,0
643,1
644,0
645,0
646,0
647,0
648,1
649,0
650,0
651,0
652,0
653,0
654,1
655,0
656,1
657,1
658,1
659,1
660,1
661,0
662,1
663,1
664,0
665,1
666,1
667,0
668,1
669,0
670,0
671,1
672,0
673,0
674,1
675,1
676,0
677,1
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,1
687,1
688,0
689,1
690,1
691,1
692,0
693,1
694,0
695,0
696,1
697,0
698,1
699,1
700,1
701,0
702,1
703,1
704,0
705,1
706,1
707,0
708,0
709,0
710,0
711,0
712,1
713,0
714,0
715,0
716,0
717,1
718,0
719,1
720,1
721,0
722,0
723,0
724,1
725,0
726,0
727,0
728,1
729,1
730,0
731,0
732,0
733,0
734,0
735,1
736,1
737,0
738,1
739,0
740,1
741,0
742,1
743,0
744,1
745,1
746,0
747,1
748,1
749,0
750,1
751,1
752,0
753,1
754,1
755,1
756,1
757,0
758,1
759,0
760,0
761,1
762,0
763,0
764,0
765,0
766,0
767,0
768,1
769,1
770,1
771,0
772,1
773,0
774,1
775,0
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,0
785,1
786,0
787,1
788,1
789,0
790,1
791,1
792,0
793,1
794,1
795,1
796,1
797,0
798,1
799,0
800,1
801,1
802,0
803,1
804,0
805,0
806,1
807,1
808,0
809,1
810,0
811,0
812,0
813,0
814,0
815,1
816,0
817,0
818,0
819,1
820,1
821,0
822,1
823,0
824,0
825,1
826,0
827,0
828,1
829,1
830,0
831,0
832,1
833,1
834,0
835,0
836,1
837,0
838,0
839,1
840,1
841,1
842,1
843,0
844,0
845,0
846,1
847,0
848,0
849,1
850,0
851,0
852,0
853,0
854,0
855,1
856,0
857,0
858,0
859,1
860,1
861,0
862,1
863,1
864,0
865,1
866,1
867,1
868,1
869,0
870,1
871,0
872,1
873,1
874,1
875,1
876,1
877,0
878,1
879,0
880,1
881,0
882,0
883,0
884,1
885,1
886,1
887,1
888,0
889,0
890,1
891,1
892,1
893,1
894,1
895,0
896,0
897,1
898,0
899,1
900,1
901,1
902,1
903,0
904,1
905,0
906,0
907,1
908,1
909,1
910,0
911,1
912,1
913,0
914,1
915,0
916,1
917,0
918,0
919,1
920,0
921,0
922,1
923,0
924,1
925,0
926,0
927,1
928,1
929,0
930,0
931,1
932,0
933,1
934,1
935,0
936,0
937,1
938,1
939,0
940,0
941,1
942,0
943,0
944,1
945,1
946,1
947,1
948,0
949,0
950,1
951,0
952,1
953,1
954,0
955,0
956,1
957,0
958,0
959,0
960,1
961,1
962,1
963,1
964,0
965,1
966,0
967,0
968,0
969,0
970,0
971,1
972,1
973,0
974,0
975,0
976,0
977,1
978,0
979,0
980,0
981,0
982,1
983,0
984,0
985,1
986,1
987,0
988,1
989,0
990,1
991,1
992,1
993,1
994,0
995,0
996,1
997,1
998,0
999,0
1000,0
1001,1
1002,1
1003,1
1004,0
1005,0
1006,0
1007,0
1008,0
1009,1
1010,1
1011,1
1012,0
1013,0
1014,0
1015,1
1016,1
1017,0
1018,0
1019,1
1020,0
1021,0
1022,1
1023,1
1024,1
1025,1
1026,1
1027,0
1028,0
1029,1
1030,1
1031,0
1032,0
1033,0
1034,1
1035,1
1036,1
1037,1
1038,1
1039,0
1040,1
1041,1
1042,0
1043,1
1044,1
1045,1
1046,1
1047,0
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,1
1055,0
1056,1
1057,1
1058,0
1059,0
1060,1
1061,1
1062,1
1063,0
1064,0
1065,0
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,0
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,0
1080,1
1081,1
1082,1
1083,0
1084,1
1085,0
1086,1
1087,0
1088,1
1089,0
1090,0
1091,0
1092,0
1093,1
1094,1
1095,0
1096,1
1097,0
1098,0
1099,1
1100,1
1101,0
1102,0
1103,0
1104,1
1105,1
1106,0
1107,0
1108,1
1109,0
1110,1
1111,1
1112,0
1113,1
1114,1
1115,1
1116,1
1117,0
1118,1
1119,1
1120,0
1121,1
1122,1
1123,1
1124,0
1125,1
1126,0
1127,0
1128,1
1129,1
1130,0
1131,1
1132,1
1133,1
1134,1
1135,1
1136,0
1137,0
1138,0
1139,0
1140,1
1141,1
1142,0
1143,0
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,0
1154,0
1155,0
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,0
1163,0
1164,1
1165,0
1166,1
1167,0
1168,0
1169,0
1170,0
1171,0
1172,1
1173,1
1174,1
1175,1
1176,1
1177,1
1178,1
1179,0
1180,1
1181,0
1182,1
1183,0
1184,0
1185,1
1186,1
1187,1
1188,0
1189,0
1190,0
1191,1
1192,0
1193,0
1194,0
1195,0
1196,1
1197,1
1198,0
1199,1
1200,1
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,1
1211,1
1212,1
1213,0
1214,1
1215,1
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,1
1225,1
1226,0
1227,0
1228,1
1229,0
1230,0
